Element,Crystal System,Space Group,Space Group_Number,a (Å),b (Å),c (Å),alpha (°),beta (°),gamma (°),Volume (Å³),Z,Density (g/cm³),Metallic Radius (Å),Atomic Volume (Å³),Coordination Number,Calculation Method,Filename,Atomic Number,Element Category
H,cI4,I 2 3,197,5.210000,5.210000,5.210000,90.000000,90.000000,90.000000,141.420000,2,0.050000,1.042000,70.710000,12,molecular,H2_(cI4)_EntryWithCollCode28465.cif,1.000000,Nonmetals
Li,bcc,I m -3 m,229,3.510040,3.510040,3.510040,90.000000,90.000000,90.000000,43.250000,2,0.530000,1.519892,21.625000,8,bcc,Li_(bcc)_EntryWithCollCode44367.cif,3.000000,Alkali Metals
Be,Mg hcp,P 63/m m c,194,2.285800,2.285800,3.584300,90.000000,90.000000,120.000000,16.220000,2,1.850000,1.142900,8.110000,Unknown,unknown,Be_(Mg hcp)_EntryWithCollCode1425.cif,4.000000,Alkaline Earth Metals
B,hR12,R -3 m H,166,4.907500,4.907500,12.559000,90.000000,90.000000,120.000000,261.940000,36,2.470000,1.472250,7.276111,6,rhombohedral,B_(hR12)_EntryWithCollCode56992.cif,5.000000,Metalloids
B,β-B,R -3 m H,166,10.932000,10.932000,23.819000,90.000000,90.000000,120.000000,2465.210000,321,2.340000,1.639800,7.679782,6,beta boron,B_(β-B)_EntryWithCollCode68104.cif,5.000000,Metalloids
B,tP50,P 42/n n m S,134,8.740000,8.740000,5.068000,90.000000,90.000000,90.000000,387.130000,50,2.320000,1.748000,7.742600,6,complex tetragonal,B_(tP50)_EntryWithCollCode26636.cif,5.000000,Metalloids
C,P63mc,P 63 m c,186,2.410000,2.410000,6.740000,90.000000,90.000000,120.000000,33.900000,4,2.350000,1.205000,8.475000,4,wurtzite,C_(P63mc)_EntryWithCollCode64412.cif,6.000000,Nonmetals
C,graphite,P 63/m m c,194,2.462230,2.462230,6.714100,90.000000,90.000000,120.000000,35.250000,4,2.260000,1.231115,8.812500,3,graphite,C_(graphite)_EntryWithCollCode230104.cif,6.000000,Nonmetals
C,diamond,F d -3 m S,227,3.566606,3.566606,3.566606,90.000000,90.000000,90.000000,45.360000,8,3.510000,0.772193,5.670000,4,diamond,C_(diamond)_EntryWithCollCode190650.cif,6.000000,Nonmetals
Na,bcc,I m -3 m,229,4.282000,4.282000,4.282000,90.000000,90.000000,90.000000,78.510000,2,0.970000,1.854160,39.255000,8,bcc,Na_(bcc)_EntryWithCollCode644903.cif,11.000000,Alkali Metals
