Element,Crystal System,Space Group,Space Group Number,a (Å),b (Å),c (Å),alpha (°),beta (°),gamma (°),Volume (Å³),Z,Density (g/cm³),Traditional Radius (Å),Volume Radius (Å),Corrected Volume Radius (Å),Primary Radius (Å),Atomic Volume (Å³),Coordination Number,Filename
Ac,unknown,F m -3 m,225,5.311,5.311,5.311,90.0,90.0,90.0,149.81,4.0,10.06,2.6555,2.0755382169313927,1.8825131627567733,1.8825131627567733,37.4525,,Ac_EntryWithCollCode43491.cif
Ag,unknown,F m -3 m,225,4.08626,4.08626,4.08626,90.0,90.0,90.0,68.23,4.0,10.5,2.04313,1.5968921655278563,1.4483811941337656,1.4483811941337656,17.0575,,Ag_EntryWithCollCode604632.cif
Al,unknown,F m -3 m,225,4.04975,4.04975,4.04975,90.0,90.0,90.0,66.42,4.0,2.7,2.024875,1.5826446847872102,1.4354587291019998,1.4354587291019998,16.605,,Al_EntryWithCollCode43423.cif
Am,unknown,F m -3 m,225,4.893,4.893,4.893,90.0,90.0,90.0,117.15,4.0,13.78,2.4465,1.9121908281706994,1.7343570811508244,1.7343570811508244,29.2875,,Am_EntryWithCollCode259453.cif
Ar,fcc,F m -3 m,225,5.43,5.43,5.43,90.0,90.0,90.0,160.1,4.0,1.66,1.9197949109214762,2.1220107373515673,1.9197831140819628,1.9197831140819628,40.025,12.0,Ar_(fcc)_EntryWithCollCode53814.cif
As,"Multiple: α-As, Black P",B m a b,64,3.7049,4.1149,10.77375,90.0,90.0,105.0,154.29500000000002,7.0,5.665,1.382475,1.7375537617159982,1.5759612618764103,1.5759612618764103,21.976875,3.0,"Averaged from 2 files: As_(Black P)_EntryWithCollCode70100.cif, As_(α-As)_EntryWithCollCode16518.cif"
Au,unknown,F m -3 m,225,4.07894,4.07894,4.07894,90.0,90.0,90.0,67.86,4.0,19.28,2.03947,1.5940003713122173,1.4457583367801812,1.4457583367801812,16.965,,Au_EntryWithCollCode52700.cif
B,"Multiple: β-B, hR12, tP50",R -3 m H,166,8.193166666666668,8.193166666666668,13.815333333333333,90.0,90.0,110.0,1038.0933333333332,135.66666666666666,2.3766666666666665,2.493875,1.217753345133976,1.1045022840365162,1.1045022840365162,7.566164347525095,,"Averaged from 3 files: B_(hR12)_EntryWithCollCode56992.cif, B_(tP50)_EntryWithCollCode26636.cif, B_(β-B)_EntryWithCollCode68104.cif"
Ba,unknown,I m -3 m,229,5.026,5.026,5.026,90.0,90.0,90.0,126.96,2.0,3.59,2.513,2.474663216084328,2.2445195369884856,2.2445195369884856,63.48,,Ba_EntryWithCollCode259551.cif
Be,Mg hcp,P 63/m m c,194,2.2858,2.2858,3.5843,90.0,90.0,120.0,16.22,2.0,1.85,1.1429,1.2463616619168842,1.1303241353788056,1.1303241353788056,8.11,12.0,Be_(Mg hcp)_EntryWithCollCode1425.cif
Bi,α-As,R -3 m H,166,4.5481,4.5481,11.86,90.0,90.0,120.0,212.45,6.0,9.8,1.137025,2.037068462885537,1.8476210958371821,1.8476210958371821,35.40833333333333,3.0,Bi_(α-As)_EntryWithCollCode205270.cif
