Element,Crystal System,Space Group,a (Å),b (Å),c (Å),Volume (Å³),Z,Density (g/cm³),Metallic Radius (Å),Atomic Volume (Å³),Coordination Number,Filename
Ce,fcc,F m -3 m,5.161200,5.161200,5.161200,137.480000,4,6.770000,1.824760,34.370000,12,Ce_(fcc)_EntryWithCollCode292023.cif
Dy,hcp,P 63/m m c,3.590300,3.590300,5.647500,63.040000,2,8.560000,1.795150,31.520000,12,Dy_(hcp)_EntryWithCollCode53357.cif
Er,hcp,P 63/m m c,3.558800,3.558800,5.587400,61.280000,2,9.060000,1.779400,30.640000,12,Er_(hcp)_EntryWithCollCode53387.cif
Eu,bcc,I m -3 m,4.582400,4.582400,4.582400,96.220000,2,5.240000,1.984237,48.110000,8,Eu_(bcc)_EntryWithCollCode53422.cif
Gd,hcp,P 63/m m c,3.633000,3.633000,5.773900,66.000000,2,7.910000,1.816500,33.000000,12,Gd_(hcp)_EntryWithCollCode635713.cif
Ho,hcp,P 63/m m c,3.577300,3.577300,5.615800,62.240000,2,8.800000,1.788650,31.120000,12,Ho_(hcp)_EntryWithCollCode102660.cif
La,α-La,P 63/m m c,3.774000,3.774000,12.171000,150.130000,4,6.150000,1.887000,37.532500,12,La_(α-La)_EntryWithCollCode641382.cif
Lu,hcp,P 63/m m c,3.503100,3.503100,5.550900,58.990000,2,9.850000,1.751550,29.495000,12,Lu_(hcp)_EntryWithCollCode44909.cif
Nd,α-La,P 63/m m c,3.657900,3.657900,11.799200,136.720000,4,7.010000,1.828950,34.180000,12,Nd_(α-La)_EntryWithCollCode102657.cif
Pr,α-La,P 63/m m c,3.670200,3.670200,11.828000,137.980000,4,6.780000,1.835100,34.495000,12,Pr_(α-La)_EntryWithCollCode43576.cif
Sc,hcp,P 63/m m c,3.309800,3.309800,5.266000,49.960000,2,2.990000,1.654900,24.980000,12,Sc_(hcp)_EntryWithCollCode164088.cif
Sm,α-La,P 63/m m c,3.619900,3.619900,11.680000,132.550000,4,7.530000,1.809950,33.137500,12,Sm_(α-La)_EntryWithCollCode52482.cif
Tb,hcp,P 63/m m c,3.609200,3.609200,5.696600,64.260000,2,8.210000,1.804600,32.130000,12,Tb_(hcp)_EntryWithCollCode104192.cif
Tm,hcp,P 63/m m c,3.537500,3.537500,5.554600,60.200000,2,9.320000,1.768750,30.100000,12,Tm_(hcp)_EntryWithCollCode102661.cif
Yb,fcc,F m -3 m,5.484700,5.484700,5.484700,164.990000,4,6.970000,1.939134,41.247500,12,Yb_(fcc)_EntryWithCollCode653477.cif
Y,hcp,P 63/m m c,3.663100,3.663100,5.814700,67.570000,2,4.370000,1.831550,33.785000,12,Y_(hcp)_EntryWithCollCode95176.cif
