Element,Crystal System,Metallic Radius (Å),Atomic Volume (Å³),Coordination Number,a (Å),Density (g/cm³)
Eu,bcc,1.984,48.110,8,4.582,5.240
Yb,fcc,1.939,41.248,12,5.485,6.970
La,α-La,1.887,37.532,12,3.774,6.150
Pr,α-La,1.835,34.495,12,3.670,6.780
Y,hcp,1.832,33.785,12,3.663,4.370
Nd,α-La,1.829,34.180,12,3.658,7.010
Ce,fcc,1.825,34.370,12,5.161,6.770
Gd,hcp,1.817,33.000,12,3.633,7.910
Sm,α-La,1.810,33.138,12,3.620,7.530
Tb,hcp,1.805,32.130,12,3.609,8.210
Dy,hcp,1.795,31.520,12,3.590,8.560
Ho,hcp,1.789,31.120,12,3.577,8.800
Er,hcp,1.779,30.640,12,3.559,9.060
Tm,hcp,1.769,30.100,12,3.538,9.320
Lu,hcp,1.752,29.495,12,3.503,9.850
Sc,hcp,1.655,24.980,12,3.310,2.990
